Date;USD;Increase
9/11/16;621.65;
9/12/16;609.67;-0.019649975
9/13/16;610.92;0.002046094
9/14/16;608.82;-0.003449295
9/15/16;610.38;0.002555785
9/16/16;609.11;-0.002085009
9/17/16;607.04;-0.003409989
9/18/16;611.58;0.007423395
9/19/16;610.19;-0.002277979
9/20/16;608.66;-0.002513719
9/21/16;598.88;-0.016330484
9/22/16;597.42;-0.002443842
9/23/16;594.08;-0.005622138
9/24/16;603.88;0.01622839
9/25/16;601.74;-0.003556353
9/26/16;598.98;-0.004607833
9/27/16;605.96;0.011518912
9/28/16;605.67;-0.000478809
9/29/16;603.85;-0.003013994
9/30/16;609.39;0.009091058
10/1/16;614.82;0.008831853
10/2/16;612.98;-0.003001729
10/3/16;611.85;-0.001846858
10/4/16;609.62;-0.003658016
10/5/16;607.18;-0.004018578
10/6/16;612.08;0.008005489
10/7/16;617.21;0.008311596
10/8/16;614.74;-0.004017959
10/9/16;615.65;0.001478113
10/10/16;617.54;0.00306053
10/11/16;614.77;-0.00450575
10/12/16;635.01;0.031873514
10/13/16;635.96;0.001493805
10/14/16;634.02;-0.00305984
10/15/16;637.94;0.006144779
10/16/16;641.42;0.005425462
10/17/16;638.97;-0.003834296
10/18/16;636.29;-0.004211916
10/19/16;629.25;-0.011187922
10/20/16;627.72;-0.002437392
10/21/16;631.92;0.006646411
10/22/16;655.48;0.035943126
10/23/16;653.25;-0.003413701
10/24/16;651.39;-0.002855432
10/25/16;655.31;0.005981902
10/26/16;651.45;-0.005925244
10/27/16;682.22;0.045102753
10/28/16;687.68;0.007939739
10/29/16;685.91;-0.002580513
10/30/16;698;0.017320917
10/31/16;702;0.005698006
11/1/16;697.01;-0.007159151
11/2/16;733.33;0.049527498
11/3/16;686.17;-0.068729324
11/4/16;683.69;-0.003627375
11/5/16;704.79;0.029937996
11/6/16;712;0.010126404
11/7/16;709.96;-0.002873401
11/8/16;708.97;-0.001396392
11/9/16;720.93;0.016589683
11/10/16;721.5;0.000790021
11/11/16;715.45;-0.008456216
11/12/16;703.71;-0.016683009
11/13/16;702.28;-0.002036225
11/14/16;706.46;0.005916825
11/15/16;710.91;0.006259583
11/16/16;711.73;0.001152122
11/17/16;736.96;0.034235237
11/18/16;747.52;0.014126712
11/19/16;748.98;0.001949318
11/20/16;729.06;-0.027322854
11/21/16;738.53;0.01282277
11/22/16;736.97;-0.002116775
11/23/16;741.63;0.006283457
11/24/16;737.45;-0.005668181
11/25/16;735.64;-0.002460443
11/26/16;733.67;-0.002685131
11/27/16;727.96;-0.007843838
11/28/16;727.31;-0.000893704
11/29/16;732.71;0.007369901
11/30/16;742.69;0.013437639
12/1/16;742.05;-0.000862476
12/2/16;772.43;0.039330425
12/3/16;764.33;-0.010597517
12/4/16;762.97;-0.001782508
12/5/16;754.63;-0.011051774
12/6/16;756.62;0.002630118
12/7/16;758.99;0.003122571
12/8/16;769.72;0.013940134
12/9/16;770.02;0.0003896
12/10/16;769.08;-0.00122224
12/11/16;777;0.01019305
12/12/16;777;0
12/13/16;777.99;0.00127251
12/14/16;774.89;-0.004000568
12/15/16;776.75;0.002394593
12/16/16;775.88;-0.001121307
12/17/16;788.7;0.016254596
12/18/16;788.4;-0.000380518
12/19/16;788.67;0.000342349
12/20/16;793.09;0.005573138
12/21/16;824.21;0.037757368
12/22/16;834.97;0.012886691
12/23/16;901.31;0.073603976
12/24/16;891.61;-0.010879196
12/25/16;892.6;0.001109119
12/26/16;897.33;0.005271193
12/27/16;930.37;0.035512753
12/28/16;930.34;-3.22463E-05
12/29/16;963.38;0.034295916
12/30/16;952.15;-0.01179436
12/31/16;958.12;0.006230952
1/1/17;997.72;0.039690494
1/2/17;1015.97;0.017963129
1/3/17;1013.42;-0.002516232
1/4/17;1126.76;0.1005893
1/5/17;994.67;-0.132797812
1/6/17;999.65;0.004981744
1/7/17;896.83;-0.114648261
1/8/17;908.14;0.012454027
1/9/17;910.49;0.002581028
1/10/17;906.05;-0.004900392
1/11/17;785.22;-0.153880441
1/12/17;780.92;-0.005506326
1/13/17;826.29;0.054908083
1/14/17;817.91;-0.010245626
1/15/17;819.55;0.002001098
1/16/17;830.5;0.013184828
1/17/17;903.84;0.08114268
1/18/17;906.6;0.003044341
1/19/17;895.798875;-0.012057534
1/20/17;893.6210875;-0.002437037
1/21/17;895.64;0.002254156
1/22/17;918.603625;0.024998405
1/23/17;922.0736125;0.003763243
1/24/17;919.97;-0.00228661
1/25/17;893.045625;-0.030148936
1/26/17;915.95625;0.025012794
1/27/17;915.05;-0.000990383
1/28/17;920.31225;0.005717896
1/29/17;915.933;-0.00478119
1/30/17;912.19;-0.004103312
1/31/17;964.706075;0.054437384
2/1/17;979.703875;0.015308503
2/2/17;983.42;0.003778777
2/3/17;1013.027;0.029226269
2/4/17;1030.999413;0.01743203
2/5/17;1034.07;0.002969419
2/6/17;1024.01375;-0.009820425
2/7/17;1050.11;0.024850968
2/8/17;1052.84;0.002592987
2/9/17;976.103;-0.078615679
2/10/17;999.1035;0.023021138
2/11/17;997.59;-0.001517156
2/12/17;1000.604625;0.003012803
2/13/17;999.877375;-0.000727339
2/14/17;1001.2;0.00132104
2/15/17;1012.325988;0.010990519
2/16/17;1035.208125;0.0221039
2/17/17;1035.2;-7.84872E-06
2/18/17;1056.637138;0.020288079
2/19/17;1052.779286;-0.003664445
2/20/17;1050.87;-0.001816862
2/21/17;1123.788429;0.064886261
2/22/17;1123.223188;-0.000503231
2/23/17;1130.01;0.006005975
2/24/17;1174.86625;0.038179878
2/25/17;1150.605714;-0.021085013
2/26/17;1150.37;-0.000204903
2/27/17;1190.75195;0.033912982
2/28/17;1187.565286;-0.002683359
3/1/17;1190.89;0.002791789
3/2/17;1259.410817;0.054407042
3/3/17;1285.14;0.020020529
3/4/17;1287;0.001445221
3/5/17;1270.9333;-0.012641655
3/6/17;1275.197375;0.003343855
3/7/17;1279.5;0.003362739
3/8/17;1157.3933;-0.105501475
3/9/17;1192.469143;0.029414466
3/10/17;1192.09;-0.000318049
3/11/17;1179.159875;-0.01096554
3/12/17;1227.494625;0.039376751
3/13/17;1227.68;0.000150996
3/14/17;1245.370786;0.014205236
3/15/17;1257.399625;0.009566441
3/16/17;1257;-0.00031792
3/17/17;1091.171888;-0.151972493
3/18/17;952.2323625;-0.145909266
3/19/17;967.69;0.015973749
3/20/17;1049.084488;0.077586209
3/21/17;1118.630043;0.062170291
3/22/17;1113;-0.005058439
3/23/17;1038.789;-0.071439917
3/24/17;941.9197143;-0.102842402
3/25/17;927.93;-0.01507626
3/26/17;956.7863125;0.030159621
3/27/17;1037.22925;0.077555601
3/28/17;1041.04;0.003660522
3/29/17;1040.5755;-0.000446388
3/30/17;1037.90455;-0.002573406
3/31/17;1034.74;-0.003058305
4/1/17;1086.929571;0.048015596
4/2/17;1099.169125;0.011135278
4/3/17;1079.99;-0.017758614
4/4/17;1141.600363;0.053968416
4/5/17;1133.079314;-0.007520258
4/6/17;1133.53;0.000397595
4/7/17;1190.45425;0.047817251
4/8/17;1181.149838;-0.007877419
4/9/17;1184.03;0.002432508
4/10/17;1207.744875;0.019635666
4/11/17;1226.617038;0.015385538
4/12/17;1219.09;-0.006174309
4/13/17;1180.023713;-0.033106358
4/14/17;1185.260057;0.004417886
4/15/17;1170.36;-0.012731174
4/16/17;1186.927413;0.013958236
4/17/17;1205.634875;0.015516689
4/18/17;1176.97;-0.024354805
4/19/17;1217.930088;0.033630902
4/20/17;1241.686325;0.019132237
4/21/17;1236.63;-0.004088794
4/22/17;1261.311225;0.01956791
4/23/17;1257.988113;-0.002641608
4/24/17;1240.84;-0.013819762
4/25/17;1279.414688;0.030150262
4/26/17;1309.109875;0.022683495
4/27/17;1288.02;-0.016373872
4/28/17;1331.294429;0.032505528
4/29/17;1334.979038;0.00276005
4/30/17;1333;-0.00148465
5/1/17;1417.172813;0.059394883
5/2/17;1452.076288;0.024036943
5/3/17;1447.55;-0.003126861
5/4/17;1508.292125;0.040272122
5/5/17;1533.335071;0.016332338
5/6/17;1518.75;-0.009603339
5/7/17;1535.868429;0.011145765
5/8/17;1640.619225;0.063848329
5/9/17;1651.1;0.006347753
5/10/17;1762.88625;0.063410926
5/11/17;1820.990563;0.03190808
5/12/17;1829;0.004379134
5/13/17;1771.920013;-0.032213636
5/14/17;1776.3165;0.002475058
5/15/17;1780;0.002069382
5/16/17;1739.031975;-0.023557948
5/17/17;1807.485063;0.037872008
5/18/17;1783.98;-0.013175631
5/19/17;1961.520488;0.090511666
5/20/17;2052.909788;0.044516959
5/21/17;2008.84;-0.021937928
5/22/17;2090.662313;0.03913703
5/23/17;2287.710288;0.086133273
5/24/17;2256.32;-0.013912161
5/25/17;2387.206286;0.054828226
5/26/17;2211.976857;-0.079218473
5/27/17;2279.82;0.029758114
5/28/17;2192.9808;-0.039598705
5/29/17;2275.9307;0.036446584
5/30/17;2290.02;0.006152479
5/31/17;2285.933914;-0.001787491
6/1/17;2399.242671;0.047226885
6/2/17;2409.93;0.004434705
6/3/17;2525.765158;0.045861413
6/4/17;2516.173143;-0.003812144
6/5/17;2529.53;0.005280371
6/6/17;2883.313697;0.122700384
6/7/17;2664.920863;-0.081950964
6/8/17;2683.03;0.00674951
6/9/17;2827.4913;0.051091687
6/10/17;2845.372857;0.006284434
6/11/17;2898.63;0.018373212
6/12/17;2657.675063;-0.090663806
6/13/17;2748.185086;0.032934471
6/14/17;2706;-0.015589463
6/15/17;2442.48025;-0.107890228
6/16/17;2464.959814;0.009119647
6/17/17;2477.94;0.005238297
6/18/17;2507.389252;0.011744986
6/19/17;2617.210263;0.041961096
6/20/17;2600;-0.006619332
6/21/17;2671.04325;0.026597566
6/22/17;2727.288013;0.020622964
6/23/17;2713.48;-0.005088673
6/24/17;2589.164888;-0.048013594
6/25/17;2512.366286;-0.030568235
6/26/17;2502.03;-0.00413116
6/27/17;2517.903114;0.0063041
6/28/17;2585.349186;0.0260878
6/29/17;2558.3;-0.010573109
6/30/17;2477.641375;-0.0325546
7/1/17;2501.191343;0.0094155
7/2/17;2421.26;-0.033012292
7/3/17;2561.225429;0.054647837
7/4/17;2599.729838;0.014810927
7/5/17;2598.89;-0.000323153
7/6/17;2609.96775;0.004244401
7/7/17;2491.201214;-0.047674405
7/8/17;2502.86;0.004658185
7/9/17;2536.238938;0.013160802
7/10/17;2366.170143;-0.071875134
7/11/17;2327.09;-0.016793568
7/12/17;2385.748571;0.024587072
7/13/17;2354.783417;-0.013149895
7/14/17;2338.49;-0.006967495
7/15/17;2058.9956;-0.135743078
7/16/17;1931.2143;-0.066166298
7/17/17;1910.96;-0.010599018
7/18/17;2320.12225;0.176353746
7/19/17;2264.7657;-0.024442506
7/20/17;2265.21;0.000196141
7/21/17;2682.195363;0.155464202
7/22/17;2807.609857;0.044669488
7/23/17;2825.51;0.00633519
7/24/17;2751.821029;-0.026778257
7/25/17;2560.997917;-0.074511233
7/26/17;2564.3;0.001287713
7/27/17;2647.625;0.031471602
7/28/17;2781.636583;0.048177244
7/29/17;2784.8;0.001135958
7/30/17;2745.955417;-0.014146108
7/31/17;2866.431667;0.042030044
8/1/17;2862.9;-0.001233598
