,bc_ratio = 0.01,bc_ratio = 0.02,bc_ratio = 0.015,bc_ratio = 0.025,bc_ratio = 0.03,Date
0,1051.92552702318,1050.82990416535,1049.73533731452,1048.64182519767,1047.54936654344,11/3/16
1,1065.66228313435,1064.08426332333,1062.50872701293,1060.93566953169,1050.26838104217,11/4/16
2,1076.44253951831,1074.84872241887,1073.25741333334,1071.66860754468,1051.25817254532,11/5/16
3,1073.39236988956,1071.80302248061,1070.21617614975,1068.63182619288,1050.97812058049,11/6/16
4,1071.90577516231,1070.31861458626,1068.73395167925,1067.15178174349,1050.83591827573,11/7/16
5,1078.12689666629,1076.54599275361,1074.96754808141,1073.39155804332,1039.20398291492,11/8/16
6,1078.97892805938,1077.39677669402,1075.81708649832,1074.23985286232,1038.26910404181,11/9/16
7,1069.93258620568,1068.36369373759,1066.79724185014,1065.23322597174,1035.17541779333,11/10/16
8,1049.60912040101,1047.5362298878,1045.467297994,1043.40231659416,1032.21208099386,11/11/16
9,1049.60792316596,1047.53503440717,1045.46610426507,1043.4011246142,1032.21189112446,11/12/16
10,1036.3774483644,1033.83073444753,1031.29035379013,1028.75628953176,1017.22283960849,11/13/16
11,1042.80801343913,1040.24571553707,1037.68978874779,1035.14021611337,1023.53536331855,11/14/16
12,1043.99297149784,1041.42780194009,1038.86901047033,1036.31658011267,1024.69856993479,11/15/16
13,1080.35440645136,1077.69983327234,1075.05186560678,1072.41048582943,1060.3874808376,11/16/16
14,1095.50170367399,1092.81067678266,1090.12634289042,1087.4486841506,1075.25767580684,11/17/16
15,1097.65020195202,1094.95387709996,1092.26425850946,1089.58132829815,1077.36639588237,11/18/16
16,1076.89056472621,1073.71212878189,1070.5428649235,1067.38274610411,1054.89217348294,11/19/16
17,1077.1152190555,1073.93623703006,1070.76642842443,1067.60576618821,1055.11269783487,11/20/16
18,1077.05821375213,1073.87941673827,1070.70979249448,1067.54931397283,1055.05691333602,11/21/16
19,1076.8997908708,1073.7220036341,1070.55338404039,1067.39390506517,1054.90372750035,11/22/16
20,1076.80812901277,1073.63054716723,1070.46213253715,1067.30285809887,1054.81368591266,11/23/16
21,1076.78118912252,1073.60363560521,1070.43524939242,1067.27600345965,1054.78710300824,11/24/16
22,1076.72745608737,1073.5500494381,1070.38180966538,1067.22270974606,1054.73441827765,11/25/16
23,1076.59199925313,1073.41492186713,1070.24701055341,1067.08823829092,1054.60145164095,11/26/16
24,1076.5765794734,1073.39953956921,1070.23166564575,1067.07293068219,1054.5863153338,11/27/16
25,1076.70018274664,1073.52285284255,1070.35468958303,1067.19566594573,1054.70768520994,11/28/16
26,1071.32410944419,1067.65346268818,1063.99542709273,1060.34995782385,1047.44325621312,11/29/16
27,1070.24878026089,1066.58201904779,1062.92785486568,1059.28624293333,1046.39261473604,11/30/16
28,1113.69794665851,1109.8828205956,1106.08079938917,1102.29183645782,1088.87506185115,12/1/16
29,1102.02949243629,1098.25432413871,1094.49212350206,1090.74284443236,1077.46663165944,12/2/16
30,1100.08961132346,1096.32105931845,1092.56545236731,1088.822744456,1075.56988382967,12/3/16
31,1088.1935756757,1084.46559711184,1080.75042496748,1077.0480137186,1063.93835669708,12/4/16
32,1091.13667380728,1087.39851098656,1083.67318998973,1079.96066516533,1066.81549016503,12/5/16
33,1094.56949973346,1090.81955551794,1087.08249368488,1083.35826843832,1070.17172474161,12/6/16
34,1109.80756871705,1106.00574625034,1102.21698303926,1098.44123266412,1085.07131135386,12/7/16
35,1110.1598295548,1106.35691147851,1102.56705596305,1098.79021657871,1085.41611928176,12/8/16
36,1108.74286751231,1104.94488877057,1101.15995527127,1097.38802064758,1084.03104557218,12/9/16
37,1120.0398222424,1116.20331332612,1112.37998130506,1108.56977934706,1095.07681235887,12/10/16
38,1120.0398222424,1116.20331332612,1112.37998130506,1108.56977934706,1095.07681235887,12/11/16
39,1121.47682112456,1117.63537627559,1113.80712533147,1109.99202139936,1096.48173471142,12/12/16
40,1117.09260647249,1113.26606216637,1109.45266106952,1105.65235646747,1092.19481459881,12/13/16
41,1119.38721068709,1115.55334172119,1111.73263891498,1107.92505548067,1094.44019696854,12/14/16
42,1118.19347767971,1114.36361408366,1110.54690323505,1106.74329839249,1093.27276969023,12/15/16
43,1136.34056819756,1132.44356740058,1128.55998698213,1124.68977901456,1110.9958268098,12/16/16
44,1135.90841517273,1132.0128963013,1128.13079270545,1124.26205647577,1110.57331204393,12/17/16
45,1136.29735289508,1132.40050029065,1128.51706755446,1124.64700676068,1110.95357533321,12/18/16
46,1142.6624785016,1138.74380147177,1134.83861945052,1130.94688424378,1117.17674982727,12/19/16
47,1187.49265577941,1183.42024505068,1179.36185873058,1175.31744673438,1161.00707201182,12/20/16
48,1202.99215720352,1198.86659649399,1194.75524321121,1190.65804661691,1176.16089132336,12/21/16
49,1298.55639671213,1294.10312832151,1289.6651958134,1285.24254441984,1269.59376597383,12/22/16
50,1284.58341873186,1280.17806618062,1275.787884515,1271.41281955626,1255.9324262516,12/23/16
51,1286.00952679377,1281.59928386304,1277.20422865783,1272.82430693924,1257.32672793459,12/24/16
52,1292.82315420064,1288.3895461235,1283.97120622911,1279.56807999127,1263.9883915311,12/25/16
53,1340.41771012516,1335.82089180753,1331.23990368262,1326.67468921732,1310.52144971897,12/26/16
54,1340.37449472935,1335.77782460503,1331.19698416314,1326.63191687238,1310.47919815282,12/27/16
55,1387.97111674295,1383.21122644107,1378.46772787749,1373.74056251383,1357.01426612309,12/28/16
56,1371.79508605879,1367.0906649706,1362.40244461929,1357.73036714851,1341.19900359709,12/29/16
57,1380.39494982603,1375.66103826762,1370.94342899572,1366.24206379135,1349.60706526118,12/30/16
