Date,Value,pred
9/11/16,621.65,0.0
9/12/16,609.67,
9/13/16,610.92,610.7402954101562
9/14/16,608.82,610.6173095703125
9/15/16,610.38,611.1618041992188
9/16/16,609.11,610.359619140625
9/17/16,607.04,608.6154174804688
9/18/16,611.58,610.6947631835938
9/19/16,610.19,607.8363647460938
9/20/16,608.66,605.02685546875
9/21/16,598.88,607.9359130859375
9/22/16,597.42,604.36572265625
9/23/16,594.08,606.2224731445312
9/24/16,603.88,597.5519409179688
9/25/16,601.74,594.6620483398438
9/26/16,598.98,596.8604125976562
9/27/16,605.96,599.4957275390625
9/28/16,605.67,600.1073608398438
9/29/16,603.85,601.2265014648438
9/30/16,609.39,605.9691772460938
10/1/16,614.82,605.4398803710938
10/2/16,612.98,605.71142578125
10/3/16,611.85,610.8570556640625
10/4/16,609.62,613.9275512695312
10/5/16,607.18,612.3328247070312
10/6/16,612.08,611.4815673828125
10/7/16,617.21,607.2811279296875
10/8/16,614.74,609.2489013671875
10/9/16,615.65,614.86181640625
10/10/16,617.54,615.9423217773438
10/11/16,614.77,613.9053344726562
10/12/16,635.01,613.7689208984375
10/13/16,635.96,616.491943359375
10/14/16,634.02,622.2349243164062
10/15/16,637.94,635.3732299804688
10/16/16,641.42,634.96142578125
10/17/16,638.97,634.3607177734375
10/18/16,636.29,636.8634033203125
10/19/16,629.25,637.9655151367188
10/20/16,627.72,636.25732421875
10/21/16,631.92,637.4039916992188
10/22/16,655.48,627.0336303710938
10/23/16,653.25,630.9215087890625
10/24/16,651.39,638.7601928710938
10/25/16,655.31,652.156005859375
10/26/16,651.45,652.5931396484375
10/27/16,682.22,653.5075073242188
10/28/16,687.68,653.81298828125
10/29/16,685.91,665.2603759765625
10/30/16,698.0,690.214111328125
10/31/16,702.0,686.9640502929688
11/1/16,697.01,688.4918212890625
11/2/16,733.33,696.3578491210938
11/3/16,686.17,694.8515625
11/4/16,683.69,693.7927856445312
11/5/16,704.79,730.6485595703125
11/6/16,712.0,685.0399169921875
11/7/16,709.96,693.6776123046875
11/8/16,708.97,708.8650512695312
11/9/16,720.93,708.88330078125
11/10/16,721.5,707.370849609375
11/11/16,715.45,709.3601684570312
11/12/16,703.71,717.2938232421875
11/13/16,702.28,716.415771484375
11/14/16,706.46,711.0560913085938
11/15/16,710.91,702.9947509765625
11/16/16,711.73,704.6458740234375
11/17/16,736.96,712.7766723632812
11/18/16,747.52,719.5223999023438
11/19/16,748.98,718.4659423828125
11/20/16,729.06,738.7686157226562
11/21/16,738.53,745.9703979492188
11/22/16,736.97,747.379150390625
11/23/16,741.63,729.966552734375
11/24/16,737.45,737.0369262695312
11/25/16,735.64,736.4036254882812
11/26/16,733.67,738.4578247070312
11/27/16,727.96,732.60546875
11/28/16,727.31,733.9636840820312
11/29/16,732.71,733.0084228515625
