Date;USD;Increase
9/12/16;1324.6;
9/13/16;1323.65;-0.000717712
9/14/16;1321.75;-0.001437488
9/15/16;1310.8;-0.008353677
9/16/16;1308.35;-0.001872588
9/19/16;1314.85;0.00494353
9/20/16;1313.8;-0.000799208
9/21/16;1326.1;0.009275319
9/22/16;1339.1;0.009708013
9/23/16;1338.65;-0.00033616
9/26/16;1340.5;0.001380082
9/27/16;1327;-0.010173323
9/28/16;1322.5;-0.003402647
9/29/16;1318.1;-0.003338138
9/30/16;1322.5;0.003327032
10/3/16;1313.3;-0.007005254
10/4/16;1283.3;-0.023377231
10/5/16;1269.4;-0.010950055
10/6/16;1254.5;-0.011877242
10/7/16;1258.75;0.003376365
10/10/16;1259.5;0.000595474
10/11/16;1253.45;-0.004826678
10/12/16;1256.5;0.002427378
10/13/16;1261.05;0.003608104
10/14/16;1251.75;-0.007429599
10/17/16;1254.8;0.002430666
10/18/16;1258.2;0.002702273
10/19/16;1269.05;0.008549703
10/20/16;1271.65;0.002044588
10/21/16;1266.05;-0.004423206
10/24/16;1265.55;-0.000395085
10/25/16;1269.4;0.003032929
10/26/16;1270.5;0.000865801
10/27/16;1266.25;-0.003356367
10/28/16;1273;0.005302435
10/31/16;1272;-0.000786164
11/1/16;1288.45;0.012767279
11/2/16;1303.75;0.011735379
11/3/16;1301;-0.002113759
11/4/16;1302.8;0.00138164
11/7/16;1283.05;-0.015393009
11/8/16;1282.35;-0.000545873
11/9/16;1281.4;-0.000741377
11/10/16;1267.5;-0.010966469
11/11/16;1236.45;-0.025112216
11/14/16;1213.6;-0.018828279
11/15/16;1226.95;0.010880639
11/16/16;1229.2;0.001830459
11/17/16;1226.75;-0.001997147
11/18/16;1211;-0.01300578
11/21/16;1214.25;0.002676549
11/22/16;1212.25;-0.001649825
11/23/16;1185.35;-0.022693719
11/24/16;1186.1;0.000632324
11/25/16;1187.7;0.001347142
11/28/16;1187;-0.000589722
11/29/16;1186.55;-0.000379251
11/30/16;1178.1;-0.007172566
12/1/16;1161.85;-0.013986315
12/2/16;1173.5;0.009927567
12/5/16;1162.2;-0.009722939
12/6/16;1172.5;0.008784648
12/7/16;1177.65;0.004373116
12/8/16;1171.05;-0.005635968
12/9/16;1163.6;-0.006402544
12/12/16;1156.1;-0.006487328
12/13/16;1158.55;0.002114712
12/14/16;1162.25;0.00318348
12/15/16;1126.95;-0.031323484
12/16/16;1131.6;0.004109226
12/19/16;1136.25;0.004092409
12/20/16;1125.7;-0.009371946
12/21/16;1133.65;0.007012746
12/22/16;1131.35;-0.002032969
12/28/16;1134.6;0.002864446
12/29/16;1145.9;0.009861244
1/3/17;1151;0.00443093
1/4/17;1164.25;0.011380717
1/5/17;1176.7;0.010580437
1/6/17;1175.85;-0.000722881
1/9/17;1178.5;0.002248621
1/10/17;1189.5;0.009247583
1/11/17;1178.55;-0.009291078
1/12/17;1205.05;0.021990789
1/13/17;1190.35;-0.012349309
1/16/17;1203;0.010515378
1/17/17;1216.05;0.010731467
1/18/17;1214.75;-0.001070179
1/19/17;1196.05;-0.015634798
1/20/17;1200.55;0.003748282
1/23/17;1212.85;0.010141402
1/24/17;1216.8;0.00324622
1/25/17;1195;-0.018242678
1/26/17;1189.7;-0.004454905
1/27/17;1184.85;-0.004093345
1/30/17;1192.8;0.00666499
1/31/17;1212.8;0.016490765
2/1/17;1203.65;-0.007601878
2/2/17;1221.95;0.014976063
2/3/17;1215.2;-0.005554641
2/6/17;1226.75;0.009415121
2/7/17;1231;0.003452478
2/8/17;1242.1;0.008936479
2/9/17;1236.8;-0.004285252
2/10/17;1228.3;-0.006920134
2/13/17;1222.25;-0.004949888
2/14/17;1230.75;0.006906358
2/15/17;1224.4;-0.005186214
2/16/17;1240.55;0.013018419
2/17/17;1241.95;0.00112726
2/20/17;1237.3;-0.003758183
2/21/17;1233.2;-0.003324684
2/22/17;1236.65;0.002789795
2/23/17;1247.9;0.009015145
2/24/17;1253.65;0.004586607
2/27/17;1257.2;0.002823735
2/28/17;1255.6;-0.001274291
3/1/17;1240.4;-0.012254112
3/2/17;1238.1;-0.001857685
3/3/17;1226.5;-0.009457807
3/6/17;1230.95;0.003615094
3/7/17;1216.65;-0.011753586
3/8/17;1209.2;-0.006161098
3/9/17;1206.55;-0.002196345
3/10/17;1202.65;-0.003242839
3/13/17;1204.2;0.001287162
3/14/17;1204.6;0.00033206
3/15/17;1198.8;-0.004838172
3/16/17;1229.35;0.024850531
3/17/17;1229.6;0.000203318
3/20/17;1232.4;0.00227199
3/21/17;1241.6;0.007409794
3/22/17;1249.05;0.005964533
3/23/17;1247.5;-0.001242485
3/24/17;1247.5;0
3/27/17;1257.55;0.00799173
3/28/17;1257.25;-0.000238616
3/29/17;1251.1;-0.004915674
3/30/17;1248.8;-0.001841768
3/31/17;1244.85;-0.003173073
4/3/17;1247.25;0.001924233
4/4/17;1257.65;0.008269391
4/5/17;1245.8;-0.00951196
4/6/17;1252.5;0.005349301
4/7/17;1266.45;0.011015042
4/10/17;1250.05;-0.013119475
4/11/17;1252.9;0.002274723
4/12/17;1274.3;0.016793534
4/13/17;1284.15;0.007670443
4/18/17;1278.95;-0.004065835
4/19/17;1279.05;7.82E-05
4/20/17;1282.1;0.00237891
4/21/17;1281.85;-0.000195031
4/24/17;1269.4;-0.009807783
4/25/17;1267.8;-0.001262029
4/26/17;1261.85;-0.004715299
4/27/17;1262.8;0.000752296
