,gold_ratio = 0.002 bc_ratio = 0.01,gold_ratio = 0.006 bc_ratio = 0.015,gold_ratio = 0.01 bc_ratio = 0.02,gold_ratio = 0.014 bc_ratio = 0.025,gold_ratio = 0.18 bc_ratio = 0.03,Date
0,1051.9371889084744,1050.835714823359,1049.7353373145236,1048.6360549087517,1047.5378661353782,11/3/16
1,1065.673890744141,1064.0900459345833,1062.5087270129259,1060.929929081054,1050.2569791576022,11/4/16
2,1076.4541916220353,1074.8545271756118,1073.2574133333367,1071.6628451501588,1051.2467666259734,11/5/16
3,1073.4040094041568,1071.8088209714927,1070.216176149753,1068.6260700071666,1050.9667158027448,11/6/16
4,1071.9174046080218,1070.32440806279,1068.7339516792488,1067.1460305322155,1050.8245179624737,11/7/16
5,1078.131369383466,1076.5482188876722,1074.9675480814144,1073.3893522225096,1039.0951604440577,11/8/16
6,1078.9834042685022,1077.3990045661208,1075.8170864983165,1074.2376453192471,1038.16039807649,11/9/16
7,1069.9370250222175,1068.3659029987386,1066.797241850139,1065.231036870079,1035.0669761777465,11/10/16
8,1049.6134950531589,1047.5384060957597,1045.4672979939976,1043.4001624590212,1032.0136410188,11/11/16
9,1049.6122978131732,1047.537210612673,1045.4661042650653,1043.3989704815035,1032.0134511501783,11/12/16
10,1036.3817678680418,1033.8328821827563,1031.2903537901298,1028.7541656339988,1017.027281598518,11/13/16
11,1042.8123597446372,1040.2478765991243,1037.6897887477933,1035.1380790357966,1023.3385917466657,11/14/16
12,1043.9973227421222,1041.429965457871,1038.8690104703292,1036.3144406064653,1024.501574740257,11/15/16
13,1080.3711897899248,1077.7081801830811,1075.0518656067823,1072.40222774032,1060.1717019551363,11/16/16
14,1095.5185188170392,1092.819039485992,1090.1263428904235,1087.440410486064,1075.0390687340587,11/17/16
15,1097.6670554761406,1094.9622588920854,1092.26425850946,1089.573035746742,1077.1473548422755,11/18/16
16,1076.9072413455503,1073.7204203490458,1070.5428649234973,1067.3745472558444,1054.6775497025712,11/19/16
17,1077.131897589252,1073.9445295491232,1070.7664284244265,1067.5975663985494,1054.898030710922,11/20/16
18,1077.0748794478143,1073.8877028710729,1070.709792494481,1067.5411205043492,1054.842269178202,11/21/16
19,1076.9162890781035,1073.7302064492235,1070.5533840403934,1067.385794067617,1054.6892748752778,11/22/16
20,1076.824631071086,1073.6387518982262,1070.4621325371506,1067.2947452045537,1054.5992464843887,11/23/16
21,1076.7977008331022,1073.6118451378327,1070.4352493924225,1067.267885812375,1054.572659203327,11/24/16
22,1076.743963016753,1073.5582565923937,1070.3818096653765,1067.2145944527617,1054.5199890284496,11/25/16
23,1076.6085050282063,1073.4231284474686,1070.2470105534119,1067.0801235652384,1054.3870485260545,11/26/16
24,1076.5930851170758,1073.4077460842109,1070.2316656457451,1067.0648160211244,1054.3719151939079,11/27/16
25,1076.7166866643472,1073.5310584987187,1070.3546895830325,1067.1875521352354,1054.4932639154688,11/28/16
26,1071.3405153585784,1067.6616174504577,1063.9954270927306,1060.34189861162,1047.2303134370397,11/29/16
27,1070.2650766490158,1066.5901193314885,1062.9278548656798,1059.278237634873,1046.1799759763603,11/30/16
28,1113.7148680889488,1109.8912311972408,1106.0807993891701,1102.2871832652856,1088.6574230039914,12/1/16
